launch_id,mission_name,launch_date_raw,status,vehicle,launch_pad,launch_site,launch_date,booster_serial,booster_flight_number,mission_type,previous_launch_date,turnaround_days
a5556e79-a01f-48c6-b822-69bbadb4460d,Falcon 9 Block 5 | Crew-14,2031-03-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2031-03-31 00:00:00+00:00,,,Crew / Human Spaceflight,,
c277ebf9-3ce3-49d6-b212-2f350a2b89ee,Falcon 9 Block 5 | Amazon Leo (LF-05),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
3930a4f9-1bd4-4f83-8906-70fcda1e31cd,Falcon 9 Block 5 | Amazon Leo (LF-10),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
6af44c56-2b17-40da-a198-886757b694e4,Falcon 9 Block 5 | Amazon Leo (LF-13),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
92176037-f390-44ae-9f4e-3f74cc36a99c,Falcon 9 Block 5 | JSAT-31,2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
06281994-19d0-4c0e-8cbe-07ead2525aab,Falcon 9 Block 5 | Amazon Leo (LF-08),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
3d4800c4-3e30-4121-a289-ae4e6bbf18c0,Falcon 9 Block 5 | NROL-96,2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2029-12-31 00:00:00+00:00,,,Government / National Security,,
f3c3a73d-e9f1-4022-a884-db88147d54cc,Falcon 9 Block 5 | Amazon Leo (LF-09),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
602dd99f-c8da-43cb-b984-424ce57a50de,Falcon 9 Block 5 | Amazon Leo (LF-06),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
230bfd2b-a9b8-4c27-98ed-03c4ffb5547f,Falcon 9 Block 5 | Amazon Leo (LF-07),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
ae0eb5dc-cd7e-4d1d-9f57-4d28a2ba3611,Falcon 9 Block 5 | USSF-234,2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Government / National Security,,
5484b8bc-8149-4f4c-8e2e-2fda40646f8f,Falcon 9 Block 5 | Amazon Leo (LF-12),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
656b50c2-80c1-48d5-876a-ee5a9b4e21d5,Falcon 9 Block 5 | Amazon Leo (LF-11),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
21aaaf10-d26f-40d9-b6b7-5247c634e254,Falcon 9 Block 5 | NROL-157,2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2029-12-31 00:00:00+00:00,,,Government / National Security,,
9b9db235-8ffb-4569-b09b-0e852ad231a0,Falcon 9 Block 5 | Amazon Leo (LF-04),2029-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-12-31 00:00:00+00:00,,,Commercial / Other,,
633b152c-63ef-453d-9f16-467dcc299916,Falcon 9 Block 5 | KPS-1,2029-09-30T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2029-09-30 00:00:00+00:00,,,Commercial / Other,,
a6e28fc1-dfff-4de1-a525-8c4a55183512,Falcon 9 Block 5 | SEOPS Waymaker-2,2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2028-12-31 00:00:00+00:00,,,Commercial / Other,,
2156b17b-76ff-4140-9146-e8d52d7e8e7d,Falcon 9 Block 5 | EchoStar 26,2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2028-12-31 00:00:00+00:00,,,Commercial / Other,,
bb34dbf6-9b46-400a-94d6-a0b6dbd6cb03,Falcon 9 Block 5 | WSF-M2 & BLAZE-2 (USSF-178),2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2028-12-31 00:00:00+00:00,,,Government / National Security,,
562cb854-99a4-4b29-81c8-2fa14dacae55,Falcon 9 Block 5 | SEOPS Darkstar-1,2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",2028-12-31 00:00:00+00:00,,,Commercial / Other,,
4da7127d-43db-4944-896e-31816c637738,Falcon 9 Block 5 | Exolaunch Exo-2,2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2028-12-31 00:00:00+00:00,,,Commercial / Other,,
d2bf7232-3999-4fbc-b903-f05a792bca8b,Falcon 9 Block 5 | Al Yah 5,2028-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2028-12-31 00:00:00+00:00,,,Commercial / Other,,
054a1928-57dc-4134-b3e3-c4c8728578b3,Falcon 9 Block 5 | NEO Surveyor,2028-06-30T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2028-06-30 00:00:00+00:00,,,Commercial / Other,,
40d980c0-caea-4851-b668-9055cd676732,Falcon 9 Block 5 | SEOPS Waymaker-1,2028-03-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",2028-03-31 00:00:00+00:00,,,Commercial / Other,,
f615ff6a-a077-4b89-bb9a-f07c2171b962,Falcon 9 Block 5 | Thor 8,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
01642f58-d8a9-4322-87b9-f051591ee165,Falcon 9 Block 5 | Nova-C IM-4 & 2 Lunar Data Relay Satellites,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
28df7f2b-11ef-468f-b269-1b174ebaaabd,Falcon 9 Block 5 | Telesat Lightspeed 11,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
7fed6954-5934-43ec-b32e-199d1759f215,Falcon 9 Block 5 | 6x Astranis MicroGEO,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
4548bcd5-4e69-46f7-a40e-d4717a0949f8,Falcon 9 Block 5 | FOO Fighter (F2),2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
887ed4ee-f7f0-4316-ac5c-d89f3844914b,Falcon 9 Block 5 | Telesat Lightspeed 14,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
fd7610d8-d883-4da0-bac2-cbbbbe34a33e,Falcon 9 Block 5 | Telesat Lightspeed 10,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
d259059a-52f0-41fe-88eb-da4f17ae0da2,Falcon 9 Block 5 | Thaicom 10,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
271b3134-d5a2-40f6-bc20-83cffb9414c3,Falcon 9 Block 5 | Telesat Lightspeed 13,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
d88a9bd5-76c4-4c55-b2eb-8cd3e071b02c,Falcon 9 Block 5 | JPSS 4 (Joint Polar Satellite System spacecraft No. 4),2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
3c0ec64f-8692-44fc-a249-318450b89b7f,Falcon 9 Block 5 | Telesat Lightspeed 12,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
37908d2e-fb37-4cb1-80ca-35f1ca949b76,Falcon 9 Block 5 | Exolaunch Exo-1,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
acf48226-23d4-4c9f-b9d2-5c3e0bf08108,Falcon 9 Block 5 | Telesat Lightspeed 8,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
9bb0b2d4-8553-44a4-bb02-488499ec9698,Falcon 9 Block 5 | Telesat Lightspeed 9,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
7ec9195a-d85f-4e01-9ec9-a17f6912c44c,Falcon 9 Block 5 | JSAT-32,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
c42d6d44-8130-4f38-8ff5-f32e2f566711,Falcon 9 Block 5 | Chinggis Sat,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
387aadc6-68ca-4090-9be7-d57603ad7c79,Falcon 9 Block 5 | Blue Ghost Lunar Lander Mission 2,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
97a7bd4f-c850-46d5-88f3-39e0834e03fd,Falcon 9 Block 5 | Al Yah 4,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
67787be2-7b6b-44df-ab10-8c828900868b,Falcon 9 Block 5 | GEO-KOMPSAT-3,2027-12-31T00:00:00Z,To Be Determined,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",2027-12-31 00:00:00+00:00,,,Commercial / Other,,
