booster_id,booster_serial,total_flights,status,first_launch_date,last_launch_date,successful_landings,attempted_landings,fastest_turnaround,vehicle_config
101,B1067,36.0,active,2021-06-03 17:29:15+00:00,2026-07-09 09:25:43+00:00,36.0,36.0,P22DT16H51M10S,Falcon 9 Block 5
107,B1071,35.0,active,2022-02-02 20:27:26+00:00,2026-07-11 03:01:57+00:00,35.0,35.0,P19DT16H19M25S,Falcon 9 Block 5
84,B1063,34.0,active,2020-11-21 17:17:08+00:00,2026-08-04 17:05:03+00:00,34.0,34.0,P32DT18H36M20S,Falcon 9 Block 5
105,B1069,32.0,expended,2021-12-21 10:07:08+00:00,2026-07-21 21:15:00+00:00,31.0,31.0,P25DT18H20M50S,Falcon 9 Block 5
116,B1077,30.0,active,2022-10-05 16:00:57+00:00,2026-08-05 07:49:00+00:00,30.0,30.0,P26DT20H34M40S,Falcon 9 Block 5
120,B1078,29.0,active,2023-03-02 05:34:14+00:00,2026-06-23 10:53:00+00:00,29.0,29.0,P20DT11H50M20S,Falcon 9 Block 5
123,B1080,28.0,active,2023-05-21 21:37:09+00:00,2026-07-14 09:10:12+00:00,28.0,28.0,P13DT12H34M20S,Falcon 9 Block 5
124,B1081,26.0,active,2023-08-26 07:27:27+00:00,2026-08-01 03:08:43+00:00,26.0,26.0,P24DT19H13M20S,Falcon 9 Block 5
73,B1062,23.0,destroyed,2020-11-05 23:24:23+00:00,2024-08-28 07:48:00+00:00,22.0,23.0,P21DT6H9M59S,Falcon 9 Block 5
125,B1082,23.0,active,2024-01-03 03:44:20+00:00,2026-07-21 14:49:34+00:00,23.0,23.0,P25DT10M,Falcon 9 Block 5
71,B1061,23.0,expended,2020-11-16 00:27:17+00:00,2024-10-07 14:52:11+00:00,22.0,22.0,P24DT9H52M36S,Falcon 9 Block 5
118,B1076,22.0,expended,2022-11-26 19:20:43+00:00,2025-10-24 01:30:00+00:00,21.0,21.0,P21DT2H49M,Falcon 9 Block 5
112,B1073,21.0,expended,2022-05-14 20:40:50+00:00,2025-01-30 01:34:00+00:00,20.0,20.0,P25DT20H44M,Falcon 9 Block 5
72,B1060,20.0,expended,2020-06-30 20:10:46+00:00,2024-04-28 00:34:00+00:00,19.0,19.0,P27DT4H4M54S,Falcon 9 Block 5
69,B1058,19.0,lost,2020-05-30 19:22:45+00:00,2023-12-23 05:33:00+00:00,19.0,19.0,P27DT8H20M31S,Falcon 9 Block 5
151,B1085,18.0,active,2024-08-20 13:20:00+00:00,2026-08-11 15:58:26+00:00,18.0,18.0,P23DT7H36M10S,Falcon 9 Block 5
153,B1088,18.0,active,2024-11-30 08:10:00+00:00,2026-08-16 01:50:45+00:00,18.0,18.0,P9DT3H38M48S,Falcon 9 Block 5
126,B1083,16.0,active,2024-03-04 03:53:38+00:00,2025-12-11 22:01:20+00:00,16.0,16.0,P23DT24M50S,Falcon 9 Block 5
193,B1093,16.0,active,2025-04-07 23:06:10+00:00,2026-08-08 16:35:02+00:00,16.0,16.0,P21DT22H7M44S,Falcon 9 Block 5
190,B1090,14.0,active,2024-12-17 22:26:00+00:00,2026-08-16 01:12:14+00:00,14.0,14.0,P22DT15H50M16S,Falcon 9 Block 5
2,B1051,14.0,expended,2019-03-02 07:49:00+00:00,2022-11-12 16:06:00+00:00,13.0,13.0,P37DT19H32M,Falcon 9 Block 5
199,B1097,12.0,active,2025-09-03 03:51:26+00:00,2026-08-19 04:01:07+00:00,12.0,12.0,P14DT3H45M49S,Falcon 9 Block 5
57,B1049,11.0,expended,2018-09-10 04:45:00+00:00,2022-11-23 02:57:00+00:00,10.0,10.0,P61DT10H36M6S,Falcon 9 Block 5
192,B1092,10.0,active,2025-02-27 03:34:20+00:00,2026-02-24 23:04:10+00:00,10.0,10.0,P25DT14H13M40S,Falcon 9 Block 5
239,B1100,8.0,active,2025-11-23 08:48:00+00:00,2026-07-25 15:51:55+00:00,8.0,8.0,P23DT12H53M36S,Falcon 9 Block 5
194,B1094,7.0,active,2025-04-29 02:34:10+00:00,2026-04-11 11:41:21+00:00,7.0,7.0,P37DT9H11M50S,Falcon 9 Block 5
197,B1096,7.0,active,2025-07-16 06:30:00+00:00,2026-07-30 07:10:19+00:00,7.0,7.0,P28DT15H54M55S,Falcon 9 Block 5
196,B1095,7.0,active,2025-05-21 03:19:10+00:00,2026-04-21 06:53:25+00:00,7.0,7.0,P37DT18H16M15S,Falcon 9 Block 5
68,B1059,6.0,lost,2019-12-05 17:29:24+00:00,2021-02-16 03:59:37+00:00,5.0,6.0,P58DT13H59M37S,Falcon 9 Block 5
56,B1048,5.0,lost,2018-07-25 11:39:30+00:00,2020-03-18 12:16:39+00:00,4.0,5.0,P74DT14H41M58S,Falcon 9 Block 5
248,B1103,5.0,active,2026-04-07 02:50:39+00:00,2026-08-12 04:46:47+00:00,5.0,5.0,P26DT8H14M11S,Falcon 9 Block 5
148,B1086,5.0,lost,2024-06-25 21:26:00+00:00,2025-03-03 02:24:00+00:00,5.0,5.0,P26DT3H11M,Falcon 9 Block 5
65,B1056,4.0,lost,2019-05-04 06:48:58+00:00,2020-02-17 15:05:55+00:00,3.0,4.0,P62DT14H55M55S,Falcon 9 Block 5
54,B1046,4.0,expended,2018-05-11 20:14:00+00:00,2020-01-19 15:30:00+00:00,3.0,3.0,P87DT9H4M,Falcon 9 Block 5
55,B1047,3.0,expended,2018-07-22 05:50:00+00:00,2019-08-06 23:23:00+00:00,2.0,2.0,P116DT14H56M,Falcon 9 Block 5
42,B1035,2.0,retired,2017-06-03 21:07:38+00:00,2017-12-15 15:36:09+00:00,2.0,2.0,P194DT18H28M31S,Falcon 9 Full Thrust
37,B1029,2.0,retired,2017-01-14 17:54:34+00:00,2017-06-23 19:10:00+00:00,2.0,2.0,P160DT1H15M26S,Falcon 9 Full Thrust
34,B1025,2.0,retired,2016-07-18 04:45:29+00:00,2018-02-06 20:45:00+00:00,2.0,2.0,P568DT15H59M31S,Falcon 9 Full Thrust
38,B1031,2.0,retired,2017-02-19 14:39:00+00:00,2017-10-11 22:53:00+00:00,2.0,2.0,P234DT8H14M,Falcon 9 Full Thrust
45,B1039,2.0,expended,2017-08-14 16:31:37+00:00,2018-04-02 20:30:38+00:00,1.0,1.0,P231DT3H59M1S,Falcon 9 Block 4
47,B1040,2.0,expended,2017-09-07 14:00:00+00:00,2018-06-04 04:45:00+00:00,1.0,1.0,P269DT14H45M,Falcon 9 Block 4
240,B1101,2.0,active,2026-01-04 06:48:10+00:00,2026-02-13 10:15:56+00:00,2.0,2.0,P40DT3H27M46S,Falcon 9 Block 5
48,B1041,2.0,expended,2017-10-09 12:37:01+00:00,2018-03-30 14:13:51+00:00,1.0,1.0,P172DT1H36M50S,Falcon 9 Block 4
53,B1045,2.0,expended,2018-04-18 22:51:31+00:00,2018-06-29 09:42:41+00:00,1.0,1.0,P71DT10H51M10S,Falcon 9 Block 4
40,B1032,2.0,expended,2017-05-01 11:15:00+00:00,2018-01-31 21:25:00+00:00,1.0,1.0,P275DT10H10M,Falcon 9 Full Thrust
50,B1043,2.0,expended,2018-01-08 01:00:00+00:00,2018-05-22 19:47:58+00:00,1.0,1.0,P134DT18H47M58S,Falcon 9 Block 4
