launch_id,mission_name,launch_date,status,vehicle,mission_type,launch_pad,launch_site
f6958a77-37bb-4559-a108-40ba0ff9e34a,Falcon 9 Block 5 | Starlink Group 17-50,2026-08-19 04:01:07+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
55b79515-ddbf-4198-8a59-29a12ed21330,Falcon 9 Block 5 | USSF-366,2026-08-16 01:50:45+00:00,Launch Successful,Falcon 9 Block 5,Government / National Security,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
be8b4b0d-1989-48a5-a96d-e8e4d59ed8b3,Falcon 9 Block 5 | Globalstar 2-R Mission 1 (x 8),2026-08-16 01:12:14+00:00,Launch Successful,Falcon 9 Block 5,Commercial / Other,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
6f94dbe4-1318-4ffb-a53d-351bbdcba733,Falcon 9 Block 5 | Starlink Group 17-49,2026-08-12 04:46:47+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
36ab6924-bb36-416a-b71d-cda9e88004be,Falcon 9 Block 5 | Starlink Group 10-19,2026-08-11 15:58:26+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
e4316d4c-9eb8-4a18-9b0d-4307c3970ef6,Falcon 9 Block 5 | Starlink Group 17-38,2026-08-08 16:35:02+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
56a85c82-ea71-449b-828c-b583f6f4a18b,Falcon 9 Block 5 | BlueBird 11-13 (Block 2 #6-8),2026-08-05 07:49:00+00:00,Launch Successful,Falcon 9 Block 5,Commercial / Other,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
0448d030-5175-4c1f-bd0b-4f3f87072921,Falcon 9 Block 5 | Starlink Group 17-53,2026-08-04 17:05:03+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
e7e55b53-6f69-4c22-9fc5-df00df653a3f,Falcon 9 Block 5 | Starlink Group 17-52,2026-08-01 03:08:43+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
24675e3d-2458-48a3-8c70-5196e44d4dc3,Falcon 9 Block 5 | NROL-95,2026-07-30 07:10:19+00:00,Launch Successful,Falcon 9 Block 5,Government / National Security,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
5b2f05d7-9052-49fb-9bd7-2a05d4910576,Falcon 9 Block 5 | Starlink Group 17-51,2026-07-25 15:51:55+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
0f6780cf-edae-4d7c-99d6-ce7de784d140,Falcon 9 Block 5 | MRV-1,2026-07-21 21:15:00+00:00,Launch Successful,Falcon 9 Block 5,Commercial / Other,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
e1079d3a-c0a6-4b42-bc1d-92e48a5a78fc,Falcon 9 Block 5 | Starlink Group 17-39,2026-07-21 14:49:34+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
d9adedc4-8fa1-4a36-84f9-43b8893a6865,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer E,2026-07-16 20:32:36+00:00,Launch Successful,Falcon 9 Block 5,Commercial / Other,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
9999a3a3-b15d-4ee3-b70f-acf00d10d912,Falcon 9 Block 5 | Starlink Group 10-45,2026-07-14 09:10:12+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
e09f254f-18bc-4985-963e-6075fa3d7a1c,Falcon 9 Block 5 | Starlink Group 15-14,2026-07-14 01:28:17+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
135fb199-a39e-48cc-ba27-0aecd96ba9f8,Falcon 9 Block 5 | Starlink Group 17-48,2026-07-11 03:01:57+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 4E,"Vandenberg SFB, CA, USA"
62d4cd48-ed28-418b-b58c-526781a50a39,Falcon 9 Block 5 | Starlink Group 10-42,2026-07-09 09:25:43+00:00,Launch Successful,Falcon 9 Block 5,Starlink,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA"
