response_mode,id,url,flight_proven,serial_number,is_placeholder,details,successful_landings,attempted_landings,flights,last_launch_date,first_launch_date,fastest_turnaround,status.id,status.name,image.id,image.name,image.image_url,image.thumbnail_url,image.credit,image.license.id,image.license.name,image.license.priority,image.license.link,image.single_use,image.variants,launcher_config.response_mode,launcher_config.id,launcher_config.url,launcher_config.name,launcher_config.families,launcher_config.full_name,launcher_config.variant,image
detailed,106,https://ll.thespacedevs.com/2.3.0/launchers/106/,False,Unknown F9,True,Booster serial number unknown.,,,,,,,8,N/A,1674.0,[AUTO] Unknown F9 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/106_image_20230708172214.png,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193443.png,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,101,https://ll.thespacedevs.com/2.3.0/launchers/101/,True,B1067,False,Falcon 9 Block 5 booster first used for the CRS-22 mission.,36.0,36.0,36.0,2026-07-09T09:25:43Z,2021-06-03T17:29:15Z,P22DT16H51M10S,3,active,2464.0,B1067 landing on LZ-1 during Koreasat-6A launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1067_landing_o_image_20250912153830.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1067_landing_o_image_thumbnail_20250912153830.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,107,https://ll.thespacedevs.com/2.3.0/launchers/107/,True,B1071,False,Falcon 9 Block 5 booster first used for the NROL-87 mission.,35.0,35.0,35.0,2026-07-11T03:01:57Z,2022-02-02T20:27:26Z,P19DT16H19M25S,3,active,2463.0,B1071 landing on LZ-4 during NROL-87 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1071_landing_o_image_20250912153658.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1071_landing_o_image_thumbnail_20250912153658.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,84,https://ll.thespacedevs.com/2.3.0/launchers/84/,True,B1063,False,Notable launches include Sentinel-6 and Dart.,34.0,34.0,34.0,2026-08-04T17:05:03Z,2020-11-21T17:17:08Z,P32DT18H36M20S,3,active,1626.0,B1063 landing on LZ-4 during Sentinel-6A Michael Freilich launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/84_image_20201122121517.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193327.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,105,https://ll.thespacedevs.com/2.3.0/launchers/105/,True,B1069,False,Falcon 9 Block 5 booster first used for the CRS-24 mission. Expended during the launch of the MRV-MEP mission.,31.0,31.0,32.0,2026-07-21T21:15:00Z,2021-12-21T10:07:08Z,P25DT18H20M50S,2,expended,2462.0,B1069 at LZ-1 after OneWeb L15 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1069_at_lz-1_a_image_20250912153047.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1069_at_lz-1_a_image_thumbnail_20250912153047.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,116,https://ll.thespacedevs.com/2.3.0/launchers/116/,True,B1077,False,Falcon 9 Block 5 booster first used for the Crew-5 mission.,30.0,30.0,30.0,2026-08-05T07:49:00Z,2022-10-05T16:00:57Z,P26DT20H34M40S,3,active,1637.0,B1077 landing on LZ-1 during CRS NG-20 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/116_image_20240201065853.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193345.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,120,https://ll.thespacedevs.com/2.3.0/launchers/120/,True,B1078,False,Falcon 9 Block 5 booster first used for the Crew-6 mission.,29.0,29.0,29.0,2026-06-23T10:53:00Z,2023-03-02T05:34:14Z,P20DT11H50M20S,3,active,2458.0,B1078 landing on LZ-2 during USSF-124 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1078_landing_o_image_20250912151734.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1078_landing_o_image_thumbnail_20250912151734.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,123,https://ll.thespacedevs.com/2.3.0/launchers/123/,True,B1080,False,Falcon 9 Block 5 booster first used for the Axiom Space Mission 2 Crew Dragon mission.,28.0,28.0,28.0,2026-07-14T09:10:12Z,2023-05-21T21:37:09Z,P13DT12H34M20S,3,active,1640.0,B1080 landing on LZ-1 during CRS SpX-30 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1080_image_20240322071018.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1080_image_thumbnail_20240322071019.jpeg,SpaceX,5.0,CC BY-NC 2.0,1.0,https://creativecommons.org/licenses/by-nc/2.0/,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,124,https://ll.thespacedevs.com/2.3.0/launchers/124/,True,B1081,False,Launched Crew-7 on its first flight.,26.0,26.0,26.0,2026-08-01T03:08:43Z,2023-08-26T07:27:27Z,P24DT19H13M20S,3,active,1641.0,B1081 at LZ-1 after Crew-7 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/124_image_20230827172435.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193351.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,73,https://ll.thespacedevs.com/2.3.0/launchers/73/,True,B1062,False,"Notable launches include GPS III SV04 & SV05, Inspiration4 and Axiom-1.

Destroyed during its 23rd landing attempt on ASOG on 28 August 2024.",22.0,23.0,23.0,2024-08-28T07:48:00Z,2020-11-05T23:24:23Z,P21DT6H9M59S,7,destroyed,1625.0,B1062 landing on ASOG during Axiom Ax-1 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/73_image_20220426161427.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193326.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
